CASRN,SMILES
86479-06-3,FC(F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl
10004-44-1,CC1=CC(=O)NO1
42588-37-4,CC(C)CCCC(C)C\C=C\C(\C)=C\C(=O)OCC#C
2032-65-7,CNC(=O)OC1=CC(C)=C(SC)C(C)=C1
40596-69-8,COC(C)(C)CCCC(C)C\C=C\C(\C)=C\C(=O)OC(C)C
77732-09-3,COCC(=O)N(N1CCOC1=O)C1=C(C)C=CC=C1C
123312-89-0,CC1=NNC(=O)N(C1)\N=C\C1=CC=CN=C1
55512-33-9,CCCCCCCCSC(=O)OC1=CC(Cl)=NN=C1C1=CC=CC=C1
95737-68-1,CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1
84087-01-4,OC(=O)C1=C(Cl)C=CC2=CC(Cl)=CN=C12
122931-48-0,CCS(=O)(=O)C1=CC=CN=C1S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1
122836-35-5,CC1=NN(C(=O)N1C(F)F)C1=CC(NS(C)(=O)=O)=C(Cl)C=C1Cl
4151-50-2,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
22248-79-9,COP(=O)(OC)O\C(=C/Cl)C1=C(Cl)C=C(Cl)C(Cl)=C1
7696-12-0,CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C
51707-55-2,O=C(NC1=CN=NS1)NC1=CC=CC=C1
27519-02-4,CCCCCCCCCCCCC\C=C/CCCCCCCC
26644-46-2,ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl
